Startup Name,Startup URL,Logo URL,Facebook URL,LinkedIn URL,Description,Industry
Flatpebble,http://www.flatpebble.com/,https://ianstorage.s3.amazonaws.com/ianCache/c6/93/c693de14dc4982fe360bb942b6f5ef7e.jpg,,,Hire Photographer online,Internet
India College Search,https://www.collegesearch.in/,https://ianstorage.s3.amazonaws.com/ianCache/c9/3e/c93e6d97b16f0369685afd9f90881afb.jpg,https://www.facebook.com/IndiaCollegeSearch,http://www.linkedin.com/company/indiacollegesearch,Connecting students with the right colleges.,Internet
LawRato,http://lawrato.com/,https://ianstorage.s3.amazonaws.com/ianCache/fa/68/fa68e6de37269be4050bb8478e245d11.jpg,,,Tech platform focusing Large Indian Legal B2C market,Internet
LogiNext,http://www.loginextsolutions.com/,https://ianstorage.s3.amazonaws.com/ianCache/2b/c4/2bc463d46e8070f7e428c6d7ffd8aecc.jpg,,,Real time visibility and big data platform for logistics companies,Internet
OneWay.Cab,http://oneway.cab/,https://ianstorage.s3.amazonaws.com/ianCache/23/4f/234f09fa7cef62b2b66f9ed38ed7073d.jpg,,,One Way Inter-City Cab Service provider,Internet
RepUp,http://repup.co/,https://ianstorage.s3.amazonaws.com/ianCache/70/4e/704eedd8f1d1284475fddffa32cb6f4e.jpg,,,Solution for hotels to maintain and enhance their brand ,Internet
SmartVizX,http://www.smartvizx.com/,https://ianstorage.s3.amazonaws.com/ianCache/33/35/3335ec1bdfa7ecb6085caa170fd7333e.jpg,,,Virtual Reality Solutions ,Internet
Staqu,http://www.staqu.com/,https://ianstorage.s3.amazonaws.com/ianCache/42/e6/42e6b3092161f426fc28782f85b16944.jpg,,,Staqu,Internet
Wedmegood ,http://www.wedmegood.com/,https://ianstorage.s3.amazonaws.com/ianCache/08/3c/083c17e34b105a2e14532cd13ba33046.jpg,,,Find wedding vendors in your city,Internet
Wiwigo,https://www.wiwigo.com/,https://ianstorage.s3.amazonaws.com/ianCache/7c/77/7c7710fa3f827ec590c4431b85b8c73a.jpg,,,An inter-city taxi service provider,Internet
 Neurosynaptic,http://www.neurosynaptic.com/,https://ianstorage.s3.amazonaws.com/ianCache/ba/3b/ba3ba490155965000d8ec8045890d09e.jpg,,,"High-quality Telemedicine Solutions - ReMeDi, an indigenous and patented technology",HealthCare
Consure Medical,http://www.consuremedical.com/,https://ianstorage.s3.amazonaws.com/ianCache/0b/6a/0b6ad66574a57785ecd1605efdc03fa1.jpg,,,Innovative medical devices.,HealthCare
Karmic Lifesciences,http://www.karmiclifesciences.com/,https://ianstorage.s3.amazonaws.com/ianCache/1d/ae/1daeda6b7c7f19e0e61e2b9281dd0da1.jpg,https://www.facebook.com/groups/karmiclifesciences/,http://www.linkedin.com/company/karmic-lifesciences-inc.?goback=%2Enmp_*1_*1_*1_*1_*1_*1&trk=pro_other_cmpy,End-to-end clinical expertise.,HealthCare
Tattva Spa,http://www.tattvaspa.com/,https://ianstorage.s3.amazonaws.com/ianCache/c8/32/c832544121eba64709a79e3ed3c31ee5.jpg,http://www.facebook.com/TattvaSpa,https://www.linkedin.com/company/tattva-spa?trk=nav_account_sub_nav_company_admin,A Luxury Spa Chain,HealthCare
Transcell Biologics,http://transcell.in/,https://ianstorage.s3.amazonaws.com/ianCache/50/92/509265935ba33ba2a52edb07ffa1deff.jpg,,,Stem cell research in Regenerative medicine & Drug discovery,HealthCare
Vitas Pharma,http://www.vitaspharma.com/,https://ianstorage.s3.amazonaws.com/ianCache/06/bd/06bd4feb48b7025493a4b839b4ce7c51.jpg,https://www.facebook.com/pages/vitaspharma,https://www.linkedin.com/profile/preview?locale=en_US&trk=prof-0-sb-preview-primary-button,Drug discovery and development,HealthCare
BOX8,http://www.box8.in/,https://ianstorage.s3.amazonaws.com/ianCache/2a/fc/2afc6b8a6714120977209f9ad62f8f33.jpg,https://www.facebook.com/Box8.in,,Meal in a Box.,Food and Hospitality
Findmystay,http://www.findmystay.com/,https://ianstorage.s3.amazonaws.com/ianCache/3d/c8/3dc82d0501257c99a53909ad8a493b5f.jpg,,,Reverse bidding platform in hotel booking,Food and Hospitality
Hungryzone,http://justeat.in/,https://ianstorage.s3.amazonaws.com/ianCache/62/72/627290a6731d99805ffa7825257e5260.jpg,https://www.facebook.com/JustEatIndia,http://www.linkedin.com/company/justeat.in,Online food ordering website.,Food and Hospitality
Jiyo Natural,http://www.jiyonatural.com/,https://ianstorage.s3.amazonaws.com/ianCache/24/1c/241cbc283e0e229d597d489fa59e1dac.jpg,,,Food & Beverage service,Food and Hospitality
Knowcross,http://www.knowcross.com/,https://ianstorage.s3.amazonaws.com/ianCache/cf/02/cf026443435e33e6435905d1d7cf6974.jpg,https://www.facebook.com/pages/Knowcross-Solutions/1383426551919915,http://www.linkedin.com/company/knowcross-solutions,Vision to achieve global leadership in the hospitality software market .,Food and Hospitality
Lanka Wild Trails,http://www.wildtrails.lk/,https://ianstorage.s3.amazonaws.com/ianCache/96/7a/967ae24feefb2251f7a69de9b26c92f0.jpg,https://www.facebook.com/www.wild.lk,,Sustainable eco-tourism.,Food and Hospitality
Roadhouse Hostels,http://roadhousehostels.com/,https://ianstorage.s3.amazonaws.com/ianCache/43/90/4390a20d49369e70138071a12dbe9133.jpg,,,Chain of backpacker’s hostel,Food and Hospitality
Saraii Village,http://www.saraiivillage.com/,https://ianstorage.s3.amazonaws.com/ianCache/ed/58/ed58bb35f75692cc859d920f1cd3b5f8.jpg,https://www.facebook.com/SaraiiVillage,http://www.linkedin.com/company/2698868?trk=tyah&trkInfo=tarId%3A1398790209426%2Ctas%3ASaraii%20%2Cidx%3A1-1-1,A unique treetop hotel. ,Food and Hospitality
Square Plums,http://www.squareplums.com/,https://ianstorage.s3.amazonaws.com/ianCache/c5/7e/c57e92f40dd7fd74d22743e2a373203f.jpg,,, Largest chain of branded rental homes for singles,Food and Hospitality
Stayzilla,http://www.stayzilla.com/,https://ianstorage.s3.amazonaws.com/ianCache/35/12/35124460fbf474e3e1c8f1c215c8730c.jpg,https://www.facebook.com/stayzilla,http://www.linkedin.com/company/3554572?trk=tyah&trkInfo=tarId%3A1400047836364%2Ctas%3Astayzil%2Cidx%3A2-1-2,Access to hotels located in the remotest of zillas of India.,Food and Hospitality
Wow! Momo,http://wowmomo.com/,https://ianstorage.s3.amazonaws.com/ianCache/0c/88/0c88116f570b33c6d935a107b10174aa.jpg,,,Chain of fast food restaurants,Food and Hospitality
Ecosense,http://www.ecosenseworld.com/,https://ianstorage.s3.amazonaws.com/ianCache/42/a0/42a067139ffd43e5be25d401e3d346f3.jpg,,,Renewable energy education.,Social-Impact
GoCoop,http://gocoop.com/,https://ianstorage.s3.amazonaws.com/ianCache/11/fd/11fd247bc4f8df9dd2f8558e86bda204.jpg,,,Online Social Marketplace to Buy and Source authentic Handcrafted products,Social-Impact
Gram Vaani,http://www.gramvaani.org/,https://ianstorage.s3.amazonaws.com/ianCache/9f/6c/9f6ca42a41a2176839e4a9665979c38b.jpg,https://www.facebook.com/gramvaani,,Voice-based social media platform.,Social-Impact
Inthree Access,http://www.inthreeaccess.com/index.html,https://ianstorage.s3.amazonaws.com/ianCache/4e/6f/4e6fd99442aaf8f1663505da96356671.jpg,https://www.facebook.com/InthreeAccess,https://www.linkedin.com/company/inthree-access-services-pvt-ltd,From rural reach to rural growth and everything in between.,Social-Impact
Saahas,http://saahas.org/,https://ianstorage.s3.amazonaws.com/ianCache/94/3d/943d26c365228e48322d3df74ae3f2fb.jpg,,,Waste management system,Social-Impact
Gadgetwood,http://www.gadgetwood.com/,https://ianstorage.s3.amazonaws.com/ianCache/cd/ea/cdeace9c52b3edc148399eb2e59e270d.jpg,https://www.facebook.com/pages/Gadgetwood/589247571087706,https://www.linkedin.com/company/gadgetwood-eservices-pvt-ltd-,"Repair, support and service for Mobiles, Smartphones and Tablets",Service
Infinity Assurance,http://www.infinityassurance.com/,https://ianstorage.s3.amazonaws.com/ianCache/4a/70/4a70f5a396172f3029df19d78da61908.jpg,,,Warranty and Post-warranty Service Management Solutions for Technology Products,Service
Pikkol,http://www.pikkol.com/,https://ianstorage.s3.amazonaws.com/ianCache/9d/a5/9da507d15a3ba2608d9f83d89530fb4c.jpg,,,Technology solution for the moving and relocation industry in India,Service
Quifers,http://www.quifers.com/,https://ianstorage.s3.amazonaws.com/ianCache/62/2e/622ec782bcc75646a2a220eb8331ee34.jpg,,,Internet enabled Logistic Solutions,Service
Sanshadow,http://www.sanshadow.com/,https://ianstorage.s3.amazonaws.com/ianCache/17/4f/174fa17de700e9f88ec25b1f94464a2b.jpg,,https://www.linkedin.com/company/3966113?trk=tyah&trkInfo=tarId%3A1415863047260%2Ctas%3Asanshadow%20consul%2Cidx%3A2-1-2,Intellectual Property Consultants,Service
Zippr,http://zip.pr/,https://ianstorage.s3.amazonaws.com/ianCache/0c/78/0c783243b727e742c08751f48d8eb079.jpg,https://www.facebook.com/Zippr,http://www.linkedin.com/company/zippr?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A507177781394799370615%2CVSRPtargetId%3A3543969%2CVSRPcmpt%3Aprimary,"Zippr solves the very common, pervasive problem of explaining addresses.",Service
Jigsee,http://www.vuclip.com/about-us.html,https://ianstorage.s3.amazonaws.com/ianCache/eb/a5/eba51ca75f813964b09323b559b2fcd4.jpg,https://www.facebook.com/vuclip,https://www.linkedin.com/company/vuclip,Making video content easily accessible to the world.,Mobile
Lowdownapp,http://www.lowdownapp.co/,https://ianstorage.s3.amazonaws.com/ianCache/7c/35/7c358b141d65e151bdcfc83934232780.jpg,,,Lowdownapp,Mobile
Mobilewalla,https://www.mobilewalla.com/,https://ianstorage.s3.amazonaws.com/ianCache/96/90/9690c004aef586f9f01d8e986a4466c4.jpg,https://www.facebook.com/mobilewalla,https://www.linkedin.com/company/mobilewalla,Audience measurement and deep analytics services for mobile apps.,Mobile
Orahi,http://www.orahi.com/,https://ianstorage.s3.amazonaws.com/ianCache/99/b9/99b97e0c3dde197442e1797ec17973d8.jpg,,,carpooling app ,Mobile
PayTunes,https://www.paytunes.in/,https://ianstorage.s3.amazonaws.com/ianCache/fb/77/fb77526339b4a77726e80a8cb7495ab0.jpg,,,Mobile Advertising Platform,Mobile
Roast,http://roastation.in/,https://ianstorage.s3.amazonaws.com/ianCache/16/ee/16ee278b6d4eb627c7520ac70a96d059.jpg,,,Entertainment App,Mobile
Assured Risk Cover,http://www.assuredriskcover.com/,https://ianstorage.s3.amazonaws.com/ianCache/26/c5/26c5286ecbf93cd32ae71fdb92a00a17.jpg,http://www.facebook.com/assuredriskcover,,Insurance for Catastrophic events such as hurricanes ,Financial Services
Taxspanner,http://www.taxspanner.com/,https://ianstorage.s3.amazonaws.com/ianCache/5b/37/5b376fad0f3a363297d2dd62061258cc.jpg,https://www.facebook.com/taxspanner?fref=ts,https://www.linkedin.com/company/363071?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A1726827071415877208362%2CVSRPtargetId%3A363071%2CVSRPcmpt%3Aprimary,Hassle-free tax compliance solutions.,Financial Services
AdStringO,http://adstringo.in/,https://ianstorage.s3.amazonaws.com/ianCache/f3/2c/f32c6bf9f9b8cc3ead56da5b83a02b7c.jpg,,,Image Compression Technology,Enterprise Solutions-Analytics
Birds  Eye,http://www.traffline.com/,https://ianstorage.s3.amazonaws.com/ianCache/3a/5d/3a5deb4c0f6635270cc90a287a4170a1.jpg,https://www.facebook.com/traffline,http://www.linkedin.com/company/birds-eye-tech?trk=company_logo,Crunch real time traffic information to improve ones commute!,Enterprise Solutions-Analytics
Druva,http://www.druva.com/,https://ianstorage.s3.amazonaws.com/ianCache/a2/b8/a2b820ea36741c2d20bb67d48ae9b9f6.jpg,https://www.facebook.com/DruvaInc,https://www.linkedin.com/company/960262,Ranked #1 by Gartner for enterprise endpoint backup.,Enterprise Solutions-Analytics
FarEye,http://www.fareye.in/,https://ianstorage.s3.amazonaws.com/ianCache/a0/c3/a0c3fca3909bba6cb67c2d5d57f79a65.jpg,https://www.facebook.com/pages/FarEye/630659053701142?fref=ts,,Enterprise mobility platform,Enterprise Solutions-Analytics
InstaSafe,http://www.instasafe.com/,https://ianstorage.s3.amazonaws.com/ianCache/f2/d2/f2d2ff37236b48ee6f26557f1105cada.jpg,,,Private cloud networks,Enterprise Solutions-Analytics
Kwench,http://www.kwench.in/,https://ianstorage.s3.amazonaws.com/ianCache/6e/d5/6ed56c6a6df3adaa0777106e5c6c2021.jpg,https://www.facebook.com/pages/Kwench-Engagement-Redefined/192480564285961,https://www.linkedin.com/company/1733677?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A1726827071415875390124%2CVSRPtargetId%3A1733677%2CVSRPcmpt%3Acompanies_cluster,"Work with their clients, facilitating learning and development.",Enterprise Solutions-Analytics
Orangescape,http://www.orangescape.com/,https://ianstorage.s3.amazonaws.com/ianCache/42/de/42de991c603537dd28eb5653a1a5eeb8.jpg,http://www.facebook.com/orangescape,http://www.linkedin.com/company/orangescape,Democratising business application development.,Enterprise Solutions-Analytics
Peel-works,http://www.peel-works.com/,https://ianstorage.s3.amazonaws.com/ianCache/73/08/7308efe31ea5b94c70cc275452509343.jpg,https://www.facebook.com/peelworks,https://www.linkedin.com/company/peel-works,Helps its clients build a smarter salesforce through technology and analytics.,Enterprise Solutions-Analytics
Process 9,http://www.process9.com/,https://ianstorage.s3.amazonaws.com/ianCache/ae/11/ae112d714226a1cbfbd506d16443e4f8.jpg,https://www.facebook.com/pages/process9,,Localization of digital properties,Enterprise Solutions-Analytics
PropheSee,http://www.prophesee.in/,https://ianstorage.s3.amazonaws.com/ianCache/69/18/69189a41659ebfd21156e1e2c17ffe87.jpg,,,PropheSee,Enterprise Solutions-Analytics
Sapience Analytics,http://www.sapience.net/,https://ianstorage.s3.amazonaws.com/ianCache/5a/bd/5abdc09f69aa1e382be49db45a2bd6b0.jpg,,https://www.linkedin.com/company/1492186?trk=tyah&trkInfo=tarId%3A1415876427792%2Ctas%3Asapience%2Cidx%3A3-1-7,Provide valuable insights for effective employee engagement.,Enterprise Solutions-Analytics
Sensibol,http://www.sensibol.com/,https://ianstorage.s3.amazonaws.com/ianCache/79/15/791519b45c24e225854c58f39c3198d5.jpg,https://www.facebook.com/groups/sensibol/,https://www.linkedin.com/company/2635894?trk=tyah&trkInfo=tarId%3A1415910256875%2Ctas%3Asensibol%2Cidx%3A1-1-1,A passion for all things audio ranging from music to environmental sounds.,Enterprise Solutions-Analytics
Stelae,http://www.stelae-technologies.com/,https://ianstorage.s3.amazonaws.com/ianCache/f7/e6/f7e69de29bbdf45e46fe15d335d491ec.jpg,,https://www.linkedin.com/company/267308?trk=tyah&trkInfo=tarId%3A1415873934877%2Ctas%3Astelae%20%2Cidx%3A1-1-1,"Automated analysis, structuring and extraction of metadata .",Enterprise Solutions-Analytics
UNBXD,http://www.unbxd.com/,https://ianstorage.s3.amazonaws.com/ianCache/e6/23/e623db2dfcd2ff121f7afd15e14ef1ef.jpg,https://www.facebook.com/unbxd,https://www.linkedin.com/company/unbxd-inc,Tools that marketers & merchandisers need.,Enterprise Solutions-Analytics
WebEngage,http://webengage.com/,https://ianstorage.s3.amazonaws.com/ianCache/92/6f/926f3d50febf19957006e30cbd9876b4.jpg,https://www.facebook.com/WebEngage,https://www.linkedin.com/company/2663547?trk=tyah&trkInfo=tarId%3A1415878530965%2Ctas%3Awebenga%2Cidx%3A2-1-2,An on-site customer engagement toolkit.,Enterprise Solutions-Analytics
